Year,Gender,Ethnicity,Ethnicity-Short,Name,Count
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Abby,11
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Abigail,29
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Ada,12
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Aisha,11
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Alexandra,12
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Alexis,18
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Alice,37
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Alina,30
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Alisha,13
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Allison,16
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Alyssa,18
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Amanda,22
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Amaya,11
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Amber,19
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Amelia,20
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Amina,18
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Amy,23
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Anaya,12
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Angel,14
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Angela,52
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Angelina,17
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Anisha,14
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Anna,39
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Annabelle,12
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Annie,25
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Anya,19
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Aria,22
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Ariana,18
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Arianna,21
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Ariel,12
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Arisha,11
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Arya,13
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Ashley,45
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Athena,10
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Audrey,35
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Ava,47
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Avery,21
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Ayesha,19
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Bella,19
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Bonnie,12
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Brianna,10
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Caroline,11
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Catherine,26
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Cecilia,12
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Charlotte,22
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Chelsea,18
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Chloe,172
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Christina,18
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Christine,14
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Cindy,15
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Claire,27
2012,FEMALE,ASIAN AND PACIFIC ISLANDER,AAPI,Connie,15
